char,division,division_tw,region
的,白勹丶,,CJK
了,了,,CJK
一,一,,CJK
是,日一龰,,CJK
我,丿扌戈,,CJK
不,不,,CJK
上,上,,CJK
在,丨土,,CJK
你,亻⺈小,,CJK
山,山,,CJK
他,亻也,,CJK
這,言辶,,CJK
來,來,,CJK
道,䒑自辶,,CJK
有,月,,CJK
下,下,,CJK
到,至刂,,CJK
個,亻囗古,,CJK
天,一大,,CJK
岳,斤一山,,CJK
人,人,,CJK
復,彳𠂉日夊,,CJK
説,言丷口儿,,CJK
去,土厶,,CJK
們,亻門,,CJK
後,彳幺夊,,CJK
中,口丨,,CJK
大,大,,CJK
高,高,,CJK
就,小尤,,CJK
着,⺶目,,CJK
門,門,,CJK
子,子,,CJK
和,禾口,,CJK
也,也,,CJK
看,龵目,,CJK
出,屮凵,,CJK
好,女子,,CJK
地,土也,,CJK
過,咼辶,,CJK
點,黑卜口,,CJK
都,耂日阝,,CJK
麽,麻丿厶,,CJK
還,罒一口辶,,CJK
起,走己,走巳,CJK
前,䒑月刂,,CJK
會,人一日,,CJK
把,扌巴,,CJK
要,覀女,,CJK
頭,一口䒑貝,,CJK
以,乚丶人,,CJK
師,𠂤一巾,,CJK
時,日土寸,日士寸,CJK
手,手,,CJK
家,宀豕,,CJK
華,艹十,艹一艹,CJK
得,彳日一寸,,CJK
靈,雨口口人,,CJK
那,㇆阝,,CJK
然,月犬灬,,CJK
年,𠂉ヰ,,CJK
多,夕夕,,CJK
回,囗口,,CJK
裏,亠里𧘇,,CJK
没,氵殳,,CJK
對,业⺷寸,,CJK
日,日,,CJK
之,之,,CJK
真,十八,,CJK
開,門一廾,,CJK
可,丁口,,CJK
小,小,,CJK
爲,爫,,CJK
學,臼乂乂子,乂乂臼子,CJK
又,又,,CJK
月,月,,CJK
事,口彐,,CJK
宗,宀示,,CJK
清,氵龶月,,CJK
聲,士殳耳,,CJK
三,三,,CJK
兩,一巾入入,,CJK
話,言舌,,CJK
掌,尚手,,CJK
見,見,,CJK
能,厶月匕匕,,CJK
同,冂一口,,CJK
今,人丶乛,人一乛,CJK
顔,立丿彡貝,,CJK
身,身,,CJK
用,用,,CJK
面,面,,CJK
問,門口,,CJK
心,心,,CJK
果,日木,,CJK
走,走,,CJK
些,止匕二,,CJK
發,癶弓殳,,CJK
想,木目心,,CJK
晚,日⺈口儿,,CJK
十,十,,CJK
很,彳艮,,CJK
自,自,,CJK
但,亻日一,,CJK
喫,口丰刀大,,CJK
霽,雨亠丷二,,CJK
幾,幺幺戈人,,CJK
宇,宀一,,CJK
向,向,,CJK
邊,自穴方辶,,CJK
如,女口,,CJK
從,彳人人龰,,CJK
只,口八,,CJK
弟,丷弓丨丿,,CJK
二,二,,CJK
太,大丶,,CJK
打,扌丁,,CJK
於,方人⺀,,CJK
生,生,,CJK
境,土立日儿,,CJK
什,亻十,,CJK
笑,竹夭,,CJK
白,白,,CJK
現,王見,,CJK
知,矢口,,CJK
所,戶斤,,CJK
午,𠂉十,,CJK
明,日月,,CJK
間,門日,,CJK
方,方,,CJK
讓,言𧘇,,CJK
嘉,壴力口,,CJK
而,而,,CJK
正,一止,,CJK
力,力,,CJK
音,立日,,CJK
給,糹合,,CJK
眼,目艮,,CJK
成,戊㇆,,CJK
意,立日心,,CJK
分,八刀,,CJK
做,亻古夊,,CJK
口,口,,CJK
海,氵𠂉母,,CJK
四,囗儿,,CJK
當,尚田,,CJK
聽,耳王十心,耳壬十心,CJK
進,隹辶,,CJK
行,彳亍,,CJK
