font,ma,pinyin
匚,ac,
,ac,
牙,ah,
,ai,
,ai,
入,aj,
寸,ak,
木,al,
朩,al,
臣,am,
亠,am,
來,an,
烏,ba,
,ba,
乂,bh,
,bh,
革,bi,
羊,bj,
,bj,
,bj,
,bj,
示,bk,
,bk,
广,bm,
犬,bn,
,bn,
鳥,bq,
,bq,
辰,cj,
卜,ck,
,ck,
鹵,cl,
心,cm,
,cm,
长,cn,
亦,co,
,co,
马,cu,
,cv,
,cv,
,cv,
,cv,
虎,cx,
,cx,
虍,cx,
,dd,
風,df,
殳,dh,
人,dj,
几,dk,
而,dm,
卩,dn,
,dn,
㔾,dn,
白,ds,
馬,du,
,du,
,dv,
面,dy,
其,eh,
之,ej,
,ej,
豕,ek,
,ek,
,ek,
隹,el,
刀,eu,
,eu,
飛,ff,
乙,fh,
亅,fh,
,fh,
,fh,
,fh,
,fh,
,fh,
,fh,
,fh,
亥,fi,
,fk,
一,fn,
习,fy,
幺,ga,
厶,gh,
禾,gi,
辶,gj,
⻍,gj,
王,gk,
身,gm,
上,gn,
丄,gn,
,gn,
夭,gu,
食,gy,
未,ha,
合,hd,
,hd,
,hd,
土,he,
七,hg,
,hg,
,hk,
僉,hq,
至,hr,
士,hs,
丨,hs,
〢,hs,
〣,hs,
,hs,
车,ht,
耂,hu,
,hv,
丂,hw,
,hw,
末,hx,
,hx,
,hx,
麻,ia,
方,ic,
又,id,
,id,
,id,
丶,ie,
乀,ie,
走,ig,
艹,ik,
,ik,
,ik,
,ik,
鹿,iq,
,iq,
亍,ir,
小,is,
癶,is,
,is,
,is,
⺌,is,
,is,
世,iw,
卅,ix,
廾,ix,
卌,ix,
门,ja,
毛,jb,
儿,jc,
,jc,
,jc,
日,jd,
,jd,
,jd,
山,jg,
千,jk,
,jk,
斤,js,
片,jt,
爿,jt,
曰,jv,
非,jw,
壬,jx,
,jx,
,jx,
乌,ka,
禺,kb,
正,kc,
向,kd,
,kd,
,kd,
巴,ke,
口,kf,
甲,kg,
〇,kl,
鸟,kq,
,kq,
也,kr,
生,ks,
乜,kt,
里,kv,
,kv,
,kv,
,kv,
舌,kx,
門,la,
气,lc,
,lc,
鬥,ld,
肀,ld,
彐,ld,
,ld,
二,le,
,le,
⺀,le,
,le,
穴,lg,
孑,lj,
子,lr,
冂,lr,
,lr,
,lr,
予,ls,
隶,lt,
了,lv,
宀,lw,
夫,ma,
曲,mc,
八,md,
且,mf,
,mf,
大,mr,
,mu,
丑,mx,
疒,mx,
,my,
不,nd,
三,ne,
戈,ng,
爪,nk,
弋,nr,
戊,nt,
水,nv,
氺,nv,
,nv,
瓜,nw,
勹,oa,
,oa,
,oa,
瓦,ob,
齒,oc,
止,od,
灬,od,
,od,
用,oe,
火,og,
竹,oi,
,oi,
,oi,
米,os,
早,ot,
古,ox,
电,pa,
文,pb,
由,pd,
巾,pe,
鬼,pf,
,pf,
,pf,
甶,pf,
丬,pg,
魚,pi,
甫,pq,
干,ps,
申,pt,
言,pv,
田,pw,
臼,px,
,px,
乚,qh,
,qh,
,qh,
,qh,
,qh,
骨,qi,
力,qj,
,qk,
咼,qk,
尚,ql,
,ql,
皿,qm,
罒,qm,
丰,qn,
車,qt,
,qt,
,qt,
皮,qu,
金,qy,
矢,rh,
鱼,ri,
十,rj,
糸,rk,
,rk,
缶,rn,
,rv,
冖,rw,
,rw,
欠,ry,
,ry,
丁,sh,
卯,sj,
,sj,
九,sk,
,sk,
耳,sl,
下,sm,
丅,sm,
丷,sm,
,sm,
业,sn,
虫,so,
,sp,
母,su,
,sv,
,sv,
彑,sv,
,sv,
豸,sy,
,sy,
,sy,
,sy,
,sy,
户,th,
戸,th,
女,ti,
,tk,
牛,tl,
,tl,
尸,tu,
,tu,
,tu,
页,ua,
尤,uc,
兀,ud,
自,ue,
雨,uf,
,uf,
见,ug,
丌,ug,
,ug,
乃,ur,
夕,us,
尢,ut,
月,uv,
,uv,
,uv,
贝,uw,
亡,vc,
凵,vc,
弓,vd,
丱,vg,
高,vh,
,vh,
,vh,
,vh,
,vh,
彳,vi,
足,vj,
工,vk,
囗,vk,
屮,vk,
,vl,
,vl,
丩,vl,
黑,vn,
,vv,
,vv,
廴,vy,
髟,wd,
厂,we,
戶,wh,
匕,wi,
,wi,
,wi,
辛,wj,
手,wk,
,wk,
立,wl,
丿,wl,
彡,wm,
,wm,
長,wn,
镸,wn,
石,wo,
丆,wy,
舟,xd,
攵,xh,
夊,xh,
川,xi,
巜,xi,
巛,xi,
己,xk,
,xk,
,xk,
,xm,
巳,xn,
,xn,
已,xu,
頁,ya,
冊,yb,
,yb,
目,yc,
,yd,
,yd,
,yd,
西,ye,
見,yg,
艮,yv,
,yv,
貝,yw,
酉,yx,
