font,ma,pinyin
乂,bi,Yì 🈤不取聲母
,bi,
九,bju,Jiǔ -> Ju
冖,bi,Mì 🈤不取聲母 ㊟俗稱秃寶蓋
,bi,㊟同冖歸併
,bi,㊟同冖歸併 ㊕不做末根
彐,bji,Jì
,bji,
肀,bji,㊟同彐歸併
隶,bi,Lì 🈤不取聲母 🈑逮本字 🈕Dài Yì Dì
立,bli,Lì
辛,bxi,Xīn -> Xi
臣,be,Ĉén -> Ce 🈤不取聲母
,bi,Yí 🈤不取聲母 ㊟熙左上
,bi,Yí 🈤不取聲母
舟,bvo,Ẑōu -> Vo 🈤Z和Ẑ作V
虫,bo,Ĉóŋ -> Co 🈤不取聲母 🈕Huǐ
门,bme,Mén -> Me
丷,ca,Bā 🈤不取聲母
䒑,ca,Cǎo -> Ca 🈤不取聲母
,ca,㊟同丷歸併 ㊕只作首根
,co,🈤無讀音取o
丌,ci,Jì 🈤不取聲母 🈕Qí
山,csa,Ŝān -> Sa
己,cji,Jǐ
已,cyi,Yǐ
巳,csi,Sì
,csi,㊟同巳歸併 ㊕不做末根
㔾,cje,Jié -> Je
麻,cma,Má
鹿,clu,Lù
,clu,㊟同鹿歸併 ㊕不做末根
纟,ci,Sī 🈤不取聲母 ㊟俗稱絞絲旁
,ci,
贝,cbe,Bèi -> Be
页,cye,Yè
金,ci,Jīn -> Ji 🈤不取聲母
門,cme,Mén -> Me
高,cga,Gāo -> Ga
,cga,㊟同高歸併
,cga,㊟同高歸併
,co,🈤無讀音取o
,co,🈤無讀音取o ㊕不做末根
口,do,Kǒu -> Ko 🈤不取聲母
〇,do,㊟同口歸併
早,da,Zǎo -> Va 🈤Z和Ẑ作V但不取聲母
皮,dpi,Pí
目,dmu,Mù
耳,dje,ěr -> Je 🈤零聲母小碼取J
雨,dyu,Yǔ
鸟,dna,Niǎo -> Na
,dna,
乌,dwu,Wū
,do,🈤無讀音取o ㊕不做末根
斤,dji,Jīn -> Ji
一,fi,Yī 🈤基本筆畫不取聲母 ㊟俗稱横
