font,ma,pinyin
乂,bi,Yì 🈤不取聲母
,bi,
九,bju,Jiǔ -> Ju
冖,bi,Mì 🈤不取聲母 ㊟俗稱秃寶蓋
⺈,bi,㊟同冖歸併
,bo,🈤無讀音取o
彐,bji,Jì
肀,bji,㊟同彐歸併
,bji,
隶,bi,Lì 🈤不取聲母 🈑逮本字 🈕Dài Yì Dì
立,bli,Lì
辛,bxi,Xīn -> Xi
臣,be,Ĉén -> Ce 🈤不取聲母
,byi,Yí ㊟熙左上
,byi,
舟,bvo,Ẑōu -> Vo 🈤Z和Ẑ取V
虫,bo,Ĉóŋ -> Co 🈤不取聲母 🈕Huǐ
门,bme,Mén -> Me
页,cye,Yè
丷,ca,Bā 🈤不取聲母
,ca,
䒑,ca,Cǎo -> Ca 🈤不取聲母
丬,ca,Qiáŋ -> Qa 🈤不取聲母
,co,🈤無讀音取o
山,csa,Ŝān -> Sa
己,cji,Jǐ
已,cyi,Yǐ
巳,csi,Sì
㔾,cje,Jié -> Je
麻,cma,Má
鹿,clu,Lù
,clu,
纟,ci,Sī 🈤不取聲母 ㊟俗稱絞絲旁
,ci,
贝,cbe,Bèi -> Be
金,ci,Jīn -> Ji 🈤不取聲母
門,cme,Mén -> Me
高,cga,Gāo -> Ga
,cga,㊟同高歸併
,co,🈤無讀音取o
,co,
〇,dli,Líŋ -> Li
口,do,Kǒu -> Ko 🈤不取聲母
早,da,Zǎo -> Va 🈤Z和Ẑ取V
皮,dpi,Pí
目,dmu,Mù
耳,dje,ěr -> Je 🈤零聲母小碼取J
雨,dyu,Yǔ
鸟,dna,Niǎo -> Na
,dna,
乌,dwu,Wū
,do,🈤無讀音取o
斤,dji,Jīn -> Ji
一,fi,Yī 🈤基本筆畫不取聲母 ㊟俗稱横
厂,fa,Ĉǎŋ -> Ca 🈤不取聲母 🈕Hǎn Yán ān
丆,fa,Hǎn -> Ha 🈤不取聲母
正,fe,Ẑèŋ -> Ve 🈤Z和Ẑ取V
女,fu,Nǚ 🈤不取聲母
母,fmu,Mǔ
